,bioregion,country,endemicSpeciesCount,genusCount,georank,id,imageCount,imagedSpecimenCount,introducedSpeciesCount,name,parent,region,speciesCount,specimenCount,subfamilyCount,subregion
92,Neotropical,Colombia,145,115.0,country,102,19935.0,694.0,8,Colombia,South America,Americas,922.0,101351.0,12.0,South America
93,Neotropical,Ecuador,71,109.0,country,103,17978.0,440.0,3,Ecuador,South America,Americas,795.0,91563.0,12.0,South America
94,Neotropical,French Guiana,11,80.0,country,105,11531.0,70.0,6,French Guiana,South America,Americas,356.0,52697.0,12.0,South America
95,Neotropical,Guyana,36,90.0,country,106,13666.0,286.0,4,Guyana,South America,Americas,507.0,63332.0,10.0,South America
96,Neotropical,Paraguay,18,92.0,country,107,13956.0,830.0,1,Paraguay,South America,Americas,567.0,44203.0,11.0,South America
97,Neotropical,Peru,54,104.0,country,108,14154.0,317.0,3,Peru,South America,Americas,641.0,68251.0,12.0,South America
98,Neotropical,Suriname,5,82.0,country,109,9722.0,93.0,5,Suriname,South America,Americas,326.0,41166.0,10.0,South America
99,Neotropical,Uruguay,5,42.0,country,110,3740.0,42.0,1,Uruguay,South America,Americas,105.0,13629.0,9.0,South America
100,Neotropical,Venezuela,43,97.0,country,111,14161.0,418.0,3,Venezuela,South America,Americas,533.0,69699.0,11.0,South America
101,Palearctic,Kazakhstan,25,26.0,country,112,1994.0,46.0,0,Kazakhstan,Central Asia,Asia,128.0,13133.0,4.0,Central Asia
102,Palearctic,Kyrgyzstan,8,24.0,country,113,2244.0,19.0,1,Kyrgyzstan,Central Asia,Asia,115.0,16440.0,4.0,Central Asia
103,Palearctic,Tajikistan,4,7.0,country,114,233.0,11.0,0,Tajikistan,Central Asia,Asia,19.0,3032.0,2.0,Central Asia
104,Palearctic,Turkmenistan,17,27.0,country,115,2369.0,32.0,1,Turkmenistan,Central Asia,Asia,122.0,5790.0,5.0,Central Asia
105,Palearctic,Uzbekistan,2,16.0,country,116,757.0,23.0,1,Uzbekistan,Central Asia,Asia,35.0,1427.0,4.0,Central Asia
106,Palearctic,China,342,139.0,country,117,15427.0,234.0,33,China,Eastern Asia,Asia,1026.0,49474.0,10.0,Eastern Asia
107,Palearctic,Japan,104,80.0,country,119,7446.0,196.0,23,Japan,Eastern Asia,Asia,306.0,39694.0,9.0,Eastern Asia
108,Palearctic,Mongolia,7,17.0,country,120,1495.0,18.0,0,Mongolia,Eastern Asia,Asia,81.0,15737.0,3.0,Eastern Asia
109,Indomalaya,Taiwan,76,73.0,country,122,3482.0,294.0,3,Taiwan,Eastern Asia,Asia,183.0,5389.0,10.0,Eastern Asia
